Elapsed Time, Bank, EEPROM, Failures
0, 0, 0, 0
0, 0, 1, 0
0, 0, 2, 0
1, 0, 3, 0
7, 0, 4, 0
14, 0, 5, 0
21, 0, 6, 0
28, 0, 7, 0
29, 1, 0, 14
31, 1, 1, 0
33, 1, 2, 0
34, 1, 3, 0
41, 1, 4, 0
48, 1, 5, 0
55, 1, 6, 0
61, 1, 7, 0
62, 0, 0, 0
62, 0, 1, 0
62, 0, 2, 0
62, 0, 3, 0
69, 0, 4, 0
76, 0, 5, 0
83, 0, 6, 0
89, 0, 7, 0
91, 1, 0, 30
93, 1, 1, 0
94, 1, 2, 0
96, 1, 3, 0
103, 1, 4, 0
110, 1, 5, 0
116, 1, 6, 0
123, 1, 7, 0
123, 0, 0, 0
123, 0, 1, 0
124, 0, 2, 0
124, 0, 3, 0
131, 0, 4, 0
137, 0, 5, 0
144, 0, 6, 0
151, 0, 7, 0
153, 1, 0, 46
154, 1, 1, 0
156, 1, 2, 0
158, 1, 3, 0
164, 1, 4, 0
171, 1, 5, 0
178, 1, 6, 0
185, 1, 7, 0
185, 0, 0, 0
185, 0, 1, 0
185, 0, 2, 0
186, 0, 3, 0
192, 0, 4, 0
199, 0, 5, 0
206, 0, 6, 0
212, 0, 7, 0
214, 1, 0, 62
215, 1, 1, 0
217, 1, 2, 0
218, 1, 3, 0
224, 1, 4, 0
230, 1, 5, 0
236, 1, 6, 0
242, 1, 7, 0
242, 0, 0, 0
242, 0, 1, 0
243, 0, 2, 0
243, 0, 3, 0
249, 0, 4, 0
255, 0, 5, 0
261, 0, 6, 0
267, 0, 7, 0
268, 1, 0, 78
270, 1, 1, 0
271, 1, 2, 0
273, 1, 3, 0
279, 1, 4, 0
285, 1, 5, 0
291, 1, 6, 0
297, 1, 7, 0
297, 0, 0, 0
297, 0, 1, 0
298, 0, 2, 0
298, 0, 3, 0
304, 0, 4, 0
310, 0, 5, 0
316, 0, 6, 0
322, 0, 7, 0
323, 1, 0, 92
325, 1, 1, 0
327, 1, 2, 0
328, 1, 3, 0
335, 1, 4, 0
342, 1, 5, 0
349, 1, 6, 0
355, 1, 7, 0
356, 0, 0, 0
356, 0, 1, 0
356, 0, 2, 0
356, 0, 3, 0
363, 0, 4, 0
370, 0, 5, 0
376, 0, 6, 0
383, 0, 7, 0
385, 1, 0, 108
386, 1, 1, 0
388, 1, 2, 0
390, 1, 3, 0
397, 1, 4, 0
403, 1, 5, 0
410, 1, 6, 0
417, 1, 7, 0
417, 0, 0, 0
417, 0, 1, 0
418, 0, 2, 0
418, 0, 3, 0
425, 0, 4, 0
431, 0, 5, 0
438, 0, 6, 0
445, 0, 7, 0
446, 1, 0, 124
448, 1, 1, 0
450, 1, 2, 0
452, 1, 3, 0
458, 1, 4, 0
465, 1, 5, 0
472, 1, 6, 0
479, 1, 7, 0
479, 0, 0, 0
479, 0, 1, 0
479, 0, 2, 0
479, 0, 3, 0
486, 0, 4, 0
493, 0, 5, 0
500, 0, 6, 0
506, 0, 7, 0
508, 1, 0, 140
510, 1, 1, 0
512, 1, 2, 0
513, 1, 3, 0
520, 1, 4, 0
527, 1, 5, 0
534, 1, 6, 0
540, 1, 7, 0
541, 0, 0, 0
541, 0, 1, 0
541, 0, 2, 0
541, 0, 3, 0
547, 0, 4, 0
553, 0, 5, 0
559, 0, 6, 0
565, 0, 7, 0
567, 1, 0, 156
568, 1, 1, 0
570, 1, 2, 0
571, 1, 3, 0
577, 1, 4, 0
583, 1, 5, 0
589, 1, 6, 0
595, 1, 7, 0
595, 0, 0, 0
596, 0, 1, 0
596, 0, 2, 0
596, 0, 3, 0
602, 0, 4, 0
608, 0, 5, 0
614, 0, 6, 0
620, 0, 7, 0
622, 1, 0, 170
623, 1, 1, 0
625, 1, 2, 0
626, 1, 3, 0
632, 1, 4, 0
638, 1, 5, 0
644, 1, 6, 0
650, 1, 7, 0
650, 0, 0, 0
650, 0, 1, 0
651, 0, 2, 0
651, 0, 3, 0
657, 0, 4, 0
663, 0, 5, 0
669, 0, 6, 0
675, 0, 7, 0
676, 1, 0, 186
678, 1, 1, 0
679, 1, 2, 0
681, 1, 3, 0
687, 1, 4, 0
694, 1, 5, 0
701, 1, 6, 0
708, 1, 7, 0
708, 0, 0, 0
708, 0, 1, 0
708, 0, 2, 0
708, 0, 3, 0
715, 0, 4, 0
722, 0, 5, 0
729, 0, 6, 0
736, 0, 7, 0
737, 1, 0, 202
739, 1, 1, 0
741, 1, 2, 0
742, 1, 3, 0
749, 1, 4, 0
756, 1, 5, 0
763, 1, 6, 0
769, 1, 7, 0
770, 0, 0, 0
770, 0, 1, 0
770, 0, 2, 0
770, 0, 3, 0
777, 0, 4, 0
784, 0, 5, 0
790, 0, 6, 0
797, 0, 7, 0
799, 1, 0, 218
801, 1, 1, 0
802, 1, 2, 0
804, 1, 3, 0
811, 1, 4, 0
818, 1, 5, 0
824, 1, 6, 0
831, 1, 7, 0
831, 0, 0, 0
831, 0, 1, 0
832, 0, 2, 0
832, 0, 3, 0
838, 0, 4, 0
844, 0, 5, 0
850, 0, 6, 0
856, 0, 7, 0
857, 1, 0, 234
859, 1, 1, 0
860, 1, 2, 0
862, 1, 3, 0
868, 1, 4, 0
874, 1, 5, 0
880, 1, 6, 0
886, 1, 7, 0
886, 0, 0, 0
886, 0, 1, 0
887, 0, 2, 0
887, 0, 3, 0
893, 0, 4, 0
899, 0, 5, 0
905, 0, 6, 0
911, 0, 7, 0
912, 1, 0, 250
914, 1, 1, 0
915, 1, 2, 0
917, 1, 3, 0
923, 1, 4, 0
929, 1, 5, 0
935, 1, 6, 0
941, 1, 7, 0
941, 0, 0, 0
941, 0, 1, 0
941, 0, 2, 0
942, 0, 3, 0
948, 0, 4, 0
954, 0, 5, 0
960, 0, 6, 0
966, 0, 7, 0
967, 1, 0, 250
969, 1, 1, 0
970, 1, 2, 0
972, 1, 3, 0
978, 1, 4, 0
984, 1, 5, 0
990, 1, 6, 0
996, 1, 7, 0
996, 0, 0, 0
996, 0, 1, 0
996, 0, 2, 0
997, 0, 3, 0
1003, 0, 4, 0
1009, 0, 5, 0
1015, 0, 6, 0
1021, 0, 7, 0
1022, 1, 0, 250
1024, 1, 1, 0
1025, 1, 2, 0
1027, 1, 3, 0
1033, 1, 4, 0
1039, 1, 5, 0
1045, 1, 6, 0
1052, 1, 7, 0
1052, 0, 0, 0
1052, 0, 1, 0
1052, 0, 2, 0
1052, 0, 3, 0
1059, 0, 4, 0
1066, 0, 5, 0
1073, 0, 6, 0
1080, 0, 7, 0
1081, 1, 0, 250
1083, 1, 1, 0
1085, 1, 2, 0
1086, 1, 3, 0
1093, 1, 4, 0
1100, 1, 5, 0
1107, 1, 6, 0
1113, 1, 7, 0
1114, 0, 0, 0
1114, 0, 1, 0
1114, 0, 2, 0
1114, 0, 3, 0
1121, 0, 4, 0
1128, 0, 5, 0
1134, 0, 6, 0
1141, 0, 7, 0
1143, 1, 0, 250
1145, 1, 1, 0
1146, 1, 2, 0
1148, 1, 3, 0
1155, 1, 4, 0
1162, 1, 5, 0
1168, 1, 6, 0
1174, 1, 7, 0
1174, 0, 0, 0
1174, 0, 1, 0
1174, 0, 2, 0
1175, 0, 3, 0
1181, 0, 4, 0
1188, 0, 5, 0
1195, 0, 6, 0
1202, 0, 7, 0
1203, 1, 0, 250
1205, 1, 1, 0
1207, 1, 2, 0
1208, 1, 3, 0
1215, 1, 4, 0
1222, 1, 5, 0
1228, 1, 6, 0
1234, 1, 7, 0
1238, 0, 0, 0
1239, 0, 1, 0
1239, 0, 2, 0
1239, 0, 3, 0
1245, 0, 4, 0
1251, 0, 5, 0
1257, 0, 6, 0
1263, 0, 7, 0
1265, 1, 0, 250
1266, 1, 1, 0
1268, 1, 2, 0
1269, 1, 3, 0
1275, 1, 4, 0
1281, 1, 5, 0
1288, 1, 6, 0
1294, 1, 7, 0
1295, 0, 0, 0
1295, 0, 1, 0
1295, 0, 2, 0
1295, 0, 3, 0
1302, 0, 4, 0
1309, 0, 5, 0
1315, 0, 6, 0
1322, 0, 7, 0
1324, 1, 0, 250
1326, 1, 1, 0
1327, 1, 2, 0
1329, 1, 3, 0
1336, 1, 4, 0
1342, 1, 5, 0
1349, 1, 6, 0
1356, 1, 7, 0
1356, 0, 0, 0
1356, 0, 1, 0
1357, 0, 2, 0
1357, 0, 3, 0
1364, 0, 4, 0
1370, 0, 5, 0
1377, 0, 6, 0
1384, 0, 7, 0
1385, 1, 0, 250
1387, 1, 1, 0
1389, 1, 2, 0
1391, 1, 3, 0
1397, 1, 4, 0
1404, 1, 5, 0
1411, 1, 6, 0
1418, 1, 7, 0
1418, 0, 0, 0
1418, 0, 1, 0
1418, 0, 2, 0
1418, 0, 3, 0
1425, 0, 4, 0
1432, 0, 5, 0
1439, 0, 6, 0
1445, 0, 7, 0
1447, 1, 0, 250
1449, 1, 1, 0
1450, 1, 2, 0
1452, 1, 3, 0
1459, 1, 4, 0
1466, 1, 5, 0
1472, 1, 6, 0
1479, 1, 7, 0
1479, 0, 0, 0
1480, 0, 1, 0
1480, 0, 2, 0
1480, 0, 3, 0
1487, 0, 4, 0
1494, 0, 5, 0
1500, 0, 6, 0
1507, 0, 7, 0
1509, 1, 0, 250
1510, 1, 1, 0
1512, 1, 2, 0
1514, 1, 3, 0
1521, 1, 4, 0
1527, 1, 5, 0
1534, 1, 6, 0
1541, 1, 7, 0
1541, 0, 0, 0
1541, 0, 1, 0
1542, 0, 2, 0
1542, 0, 3, 0
1548, 0, 4, 0
1555, 0, 5, 0
1562, 0, 6, 0
1569, 0, 7, 0
1570, 1, 0, 250
1572, 1, 1, 0
1574, 1, 2, 0
1576, 1, 3, 0
1582, 1, 4, 0
1589, 1, 5, 0
1596, 1, 6, 0
1603, 1, 7, 0
1603, 0, 0, 0
1603, 0, 1, 0
1603, 0, 2, 0
1603, 0, 3, 0
1610, 0, 4, 0
1617, 0, 5, 0
1624, 0, 6, 0
1630, 0, 7, 0
1632, 1, 0, 250
1634, 1, 1, 0
1636, 1, 2, 0
1637, 1, 3, 0
1644, 1, 4, 0
1651, 1, 5, 0
1658, 1, 6, 0
1664, 1, 7, 0
1664, 0, 0, 0
1665, 0, 1, 0
1665, 0, 2, 0
1665, 0, 3, 0
1672, 0, 4, 0
1679, 0, 5, 0
1685, 0, 6, 0
1692, 0, 7, 0
1694, 1, 0, 250
1696, 1, 1, 0
1697, 1, 2, 0
1699, 1, 3, 0
1706, 1, 4, 0
1713, 1, 5, 0
1719, 1, 6, 0
1726, 1, 7, 0
1726, 0, 0, 0
1726, 0, 1, 0
1727, 0, 2, 0
1727, 0, 3, 0
1734, 0, 4, 0
1740, 0, 5, 0
1747, 0, 6, 0
1754, 0, 7, 0
1756, 1, 0, 250
1757, 1, 1, 0
1759, 1, 2, 0
1761, 1, 3, 0
1768, 1, 4, 0
1774, 1, 5, 0
1781, 1, 6, 0
1788, 1, 7, 0
1788, 0, 0, 0
1788, 0, 1, 0
1788, 0, 2, 0
1789, 0, 3, 0
1795, 0, 4, 0
1801, 0, 5, 0
1807, 0, 6, 0
1813, 0, 7, 0
1814, 1, 0, 250
1816, 1, 1, 0
1817, 1, 2, 0
1819, 1, 3, 0
1825, 1, 4, 0
1831, 1, 5, 0
1837, 1, 6, 0
1843, 1, 7, 0
