Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_UNO_R3,1,Arduino_UNO_R3,
"R10, R11, R12, R13, R14, R15, R4, R5, R6, R9",0805,10,10k,
"U1, U2",SO-16_3.9x9.9mm_P1.27mm,2,74CBTLV3257,
"U10, U9",TSSOP-8_4.4x3mm_P0.65mm,2,CAT24C 512XHM,
"U11, U14",SOIC-8_3.9x4.9mm_P1.27mm,2,AT24CS01-SSHM,
"U12, U15",SOIC-8_3.9x4.9mm_P1.27mm,2,AT24CS32-SSHM,
"U13, U16",SOIC-8_3.9x4.9mm_P1.27mm,2,CAT24C128 SSHM,
"U17, U20",TSSOP-8_4.4x3mm_P0.65mm,2,AT24CS01-XHM,
"U18, U21",TSSOP-8_4.4x3mm_P0.65mm,2,AT24CS32-XHM,
"U19, U22",TSSOP-8_4.4x3mm_P0.65mm,2,CAT24C128 XHM,
"U3, U4",SOIC-8_3.9x4.9mm_P1.27mm,2,AT24CS04-SSHM,
"U5, U6",TSSOP-8_4.4x3mm_P0.65mm,2,AT24CS04-XHM,
"U7, U8",SOIC-8_5.23x5.23mm_P1.27mm,2,CAT24C 512,
