Elapsed Time, Bank, EEPROM, Failures
0, 0, 0, 4000
0, 0, 1, 4000
0, 0, 2, 4000
0, 0, 3, 4000
0, 0, 4, 512000
0, 0, 5, 512000
0, 0, 6, 512000
0, 0, 7, 512000
0, 1, 0, 32000
0, 1, 1, 32000
0, 1, 2, 32000
0, 1, 3, 32000
0, 1, 4, 128000
0, 1, 5, 128000
0, 1, 6, 128000
0, 1, 7, 128000
0, 0, 0, 8000
0, 0, 1, 8000
0, 0, 2, 8000
0, 0, 3, 8000
0, 0, 4, 1024000
0, 0, 5, 1024000
0, 0, 6, 1024000
0, 0, 7, 1024000
0, 1, 0, 64000
0, 1, 1, 64000
0, 1, 2, 64000
0, 1, 3, 64000
0, 1, 4, 256000
0, 1, 5, 256000
0, 1, 6, 256000
0, 1, 7, 256000
0, 0, 0, 12000
0, 0, 1, 12000
0, 0, 2, 12000
0, 0, 3, 12000
0, 0, 4, 1536000
0, 0, 5, 1536000
0, 0, 6, 1536000
0, 0, 7, 1536000
0, 1, 0, 96000
0, 1, 1, 96000
0, 1, 2, 96000
0, 1, 3, 96000
0, 1, 4, 384000
0, 1, 5, 384000
0, 1, 6, 384000
0, 1, 7, 384000
0, 0, 0, 16000
0, 0, 1, 16000
0, 0, 2, 16000
0, 0, 3, 16000
0, 0, 4, 2048000
0, 0, 5, 2048000
0, 0, 6, 2048000
0, 0, 7, 2048000
0, 1, 0, 128000
0, 1, 1, 128000
0, 1, 2, 128000
0, 1, 3, 128000
0, 1, 4, 512000
0, 1, 5, 512000
0, 1, 6, 512000
0, 1, 7, 512000
0, 0, 0, 20000
0, 0, 1, 20000
0, 0, 2, 20000
0, 0, 3, 20000
0, 0, 4, 2560000
0, 0, 5, 2560000
0, 0, 6, 2560000
0, 0, 7, 2560000
0, 1, 0, 160000
0, 1, 1, 160000
0, 1, 2, 160000
0, 1, 3, 160000
0, 1, 4, 640000
0, 1, 5, 640000
0, 1, 6, 640000
0, 1, 7, 640000
0, 0, 0, 24000
0, 0, 1, 24000
0, 0, 2, 24000
0, 0, 3, 24000
0, 0, 4, 3072000
0, 0, 5, 3072000
0, 0, 6, 3072000
0, 0, 7, 3072000
0, 1, 0, 192000
0, 1, 1, 192000
